"hasAttachedProperty","hasCooling","hasGarage","hasHeating","hasSpa","hasView","stories","price","bathrooms","bedrooms","city","population","distanceToCoast","AvgIncomeCity","hasPool","furnished","additionalParcels","hasAssociation","hasCarport","hasFireplace","hasHomeWarranty","hasLandLease","isNewConstruction","LivingArea","Yearsold","longitude","latitude","schoolRating","homeType","homeRating"
0,1,1,1,0,1,2,1250000,3,5,"Anaheim",346824,15.2,88538,1,0,0,1,0,1,0,0,0,2536,50,-117.76132,33.847946,7,3,2
0,1,1,1,0,1,2,1260000,3,3,"Anaheim",346824,15.2,88538,0,0,0,1,0,1,0,0,0,2330,45,-117.78113,33.843437,7,3,2
0,1,1,1,1,1,1,1450000,3,4,"Anaheim",346824,15.2,88538,1,0,0,1,0,1,0,0,0,2271,50,-117.76406,33.84896,7,3,3
0,1,1,1,1,1,2,1600000,4,5,"Anaheim",346824,15.2,88538,2,0,0,0,0,1,0,0,0,2888,67,-117.9511,33.82422,7,3,3
0,0,1,1,0,0,2,1600000,6,14,"Anaheim",346824,15.2,88538,0,0,0,0,0,0,0,0,0,5609,102,-117.9147,33.840736,7,2,2
0,1,1,1,0,1,2,1410000,3,4,"Anaheim",346824,15.2,88538,0,0,0,0,0,1,0,0,0,2588,48,-117.76622,33.862854,7,3,2
0,1,1,1,1,1,2,1610000,4,5,"Anaheim",346824,15.2,88538,2,0,0,1,0,1,0,0,0,3000,26,-117.72359,33.859516,7,3,3
1,1,1,1,1,1,1,1250000,2,2,"Anaheim",346824,15.2,88538,1,0,0,1,0,1,0,0,0,1889,45,-117.782486,33.84319,7,3,2
0,1,1,1,0,1,1,1159000,3,4,"Anaheim",346824,15.2,88538,2,0,0,0,0,1,0,0,0,2131,60,-117.88286,33.826893,7,3,2
0,1,1,0,0,1,2,1330000,4,6,"Anaheim",346824,15.2,88538,0,0,0,0,1,1,0,0,0,2912,102,-117.91984,33.842278,7,3,3
0,1,1,1,0,1,2,1275000,2,4,"Anaheim",346824,15.2,88538,0,0,0,0,0,1,0,0,0,2127,59,-117.82413,33.847767,7,3,2
0,1,1,1,0,1,2,1135000,4,5,"Anaheim",346824,15.2,88538,0,0,0,0,0,1,0,0,0,2404,59,-117.88524,33.82964,7,3,2
0,1,1,1,0,1,2,1190000,3,4,"Anaheim",346824,15.2,88538,2,0,0,0,0,1,0,0,0,2359,50,-117.77743,33.856987,7,3,2
0,1,1,1,1,1,2,1825000,5,5,"Anaheim",346824,15.2,88538,2,0,0,1,0,1,0,0,0,3164,30,-117.73707,33.852318,7,3,3
0,1,1,1,0,1,1,1150000,2,4,"Anaheim",346824,15.2,88538,0,0,0,0,0,1,0,0,0,2304,63,-117.872955,33.82621,7,3,2
1,1,1,1,0,1,2,1200000,3,3,"Anaheim",346824,15.2,88538,0,0,0,1,0,1,0,0,0,2815,39,-117.82189,33.836372,7,3,3
1,0,1,1,0,1,2,1537500,8,8,"Anaheim",346824,15.2,88538,0,0,0,0,0,0,0,0,0,3820,60,-117.9633,33.84083,7,2,2
0,1,1,1,0,1,2,1200000,3,5,"Anaheim",346824,15.2,88538,0,0,0,0,0,1,0,0,0,2131,56,-117.99827,33.826073,7,3,2
0,1,1,1,1,1,2,2140000,5,5,"Anaheim",346824,15.2,88538,2,0,0,1,0,1,0,0,0,3164,35,-117.73881,33.856632,7,3,3
0,1,1,1,1,1,1,1205000,2,3,"Anaheim",346824,15.2,88538,2,0,0,0,0,1,0,0,0,1596,62,-117.87321,33.843895,7,3,3
